customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00001,Male,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,80.7,2152.76,No
CUST-00002,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,63.57,1340.14,Yes
CUST-00003,Female,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),67.57,3350.33,No
CUST-00004,Male,0,No,No,29,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,64.91,1834.57,No
CUST-00005,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,85.96,226.81,No
CUST-00006,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,872.12,No
CUST-00007,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.89,715.48,No
CUST-00008,Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.7,1367.89,Yes
CUST-00009,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,88.63,5221.89,No
CUST-00010,Male,0,No,Yes,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.4,971.42,Yes
CUST-00011,Female,1,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.85,492.74,No
CUST-00012,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),100.19,2460.29,Yes
CUST-00013,Female,1,Yes,No,39,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,63.51,2470.1,No
CUST-00014,Female,1,Yes,No,33,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,64.74,2109.06,Yes
CUST-00015,Female,1,No,No,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),96.36,6573.1,Yes
CUST-00016,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,87.43,850.81,Yes
CUST-00017,Female,0,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.58,1296.8,No
CUST-00018,Male,0,No,Yes,57,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,53.88,3086.32,No
CUST-00019,Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.32,694.3,Yes
CUST-00020,Male,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.67,925.31,No
CUST-00021,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.93,997.26,No
CUST-00022,Male,1,No,No,7,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,67.11,524.88,No
CUST-00023,Male,0,Yes,No,56,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),60.26,3414.21,No
CUST-00024,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.05,4521.25,No
CUST-00025,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,65.54,1386.62,No
CUST-00026,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.32,481.56,No
CUST-00027,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.82,677.78,Yes
CUST-00028,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.23,1221.3,Yes
CUST-00029,Female,0,Yes,No,5,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.46,404.93,No
CUST-00030,Male,0,No,No,72,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,71.28,5145.09,No
CUST-00031,Male,0,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,89.97,5055.58,Yes
CUST-00032,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),96.38,441.56,Yes
CUST-00033,Male,0,Yes,Yes,24,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,66.19,1615.09,No
CUST-00034,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,68.38,2941.31,No
